date,window_start,actual_return,baseline_pred,selected_pred,ma_linear_pred,baseline_err,selected_err,ma_linear_err,baseline_correct,selected_correct,ma_signal_correct
2022-11-11,2022-07-01,-0.0314144364766353,-0.0008468749526245821,0.001040982391424385,0.002544498927022341,0.030567561524010717,0.03245541886805968,0.03395893540365764,True,False,False
2022-11-12,2022-07-01,-0.0138020064763657,0.0003594590144254425,0.0018090488975689696,0.0025160655347937536,0.014161465490791144,0.01561105537393467,0.016318072011159455,False,False,False
2022-11-13,2022-07-01,-0.0265382099183333,-0.0001547991407164894,0.0017317206027921178,0.0024745869908202743,0.026383410777616807,0.028269930521125416,0.029012796909153572,True,False,False
2022-11-14,2022-07-01,0.0161944639882631,0.003017774216961044,0.001806117443310409,0.0024283867987095428,0.013176689771302055,0.01438834654495269,0.013766077189553557,True,True,True
2022-11-15,2022-07-01,0.0160314639987833,-0.0006682432224394833,0.0015551293912908896,0.0023666014713826003,0.01669970722122278,0.01447633460749241,0.013664862527400698,False,True,False
2022-11-16,2022-07-01,-0.0127437818409466,0.008728775685441741,0.0015473345735933157,0.0022962695793225514,0.02147255752638834,0.014291116414539916,0.015040051420269152,False,False,True
2022-11-17,2022-07-01,0.0010845070736082,0.0013468629126554095,0.0017170436965573764,0.0022330002163327345,0.00026235583904720946,0.0006325366229491764,0.0011484931427245344,True,True,False
2022-11-18,2022-07-01,0.0006148167681003,-0.0024329025881234864,0.0016416115725771915,0.0021652196782876144,0.0030477193562237865,0.0010267948044768915,0.0015504029101873144,False,True,False
2022-11-19,2022-07-01,0.0008246325823211,-0.006884732332825555,0.0016417412666059124,0.002093205369724285,0.0077093649151466544,0.0008171086842848124,0.001268572787403185,False,True,False
2022-11-20,2022-07-01,-0.0251152599390952,0.0075518926361223425,0.0016402943368029254,0.0020240600393561076,0.03266715257521754,0.026755554275898125,0.027139319978451305,False,False,True
2022-11-21,2022-07-01,-0.0309693747513911,0.005910643251903853,0.0017937018441378093,0.0019505220105820505,0.036880018003294955,0.032763076595528906,0.03291989676197315,False,False,True
2022-11-22,2022-07-01,0.0254942741881059,0.00019743262061585687,0.0018337465635295384,0.001866704049547981,0.02529684156749004,0.02366052762457636,0.02362757013855792,True,True,False
2022-11-23,2022-07-01,0.0260002157033485,-0.00015542095358842076,0.0015013460816157656,0.0018016468535991688,0.02615563665693692,0.024498869621732734,0.024198568849749334,False,True,False
2022-11-24,2022-07-01,-0.0003757930043709,0.003501804993661851,0.0014863896631252763,0.0017478261849256196,0.003877597998032751,0.0018621826674961764,0.0021236191892965196,False,False,True
2022-11-25,2022-07-01,-0.0049759536156385,-0.0005423091889144981,0.0016417360504817763,0.0016688930928526926,0.004433644426724002,0.0066176896661202765,0.006644846708491193,True,False,True
2022-11-26,2022-07-01,-0.0034839061881034,-0.00784819003804602,0.0016748402115153826,0.0015828869880230552,0.004364283849942619,0.005158746399618783,0.005066793176126455,True,False,True
2022-11-27,2022-07-01,-0.0011937537130568,0.0005646660295131932,0.001667215057946537,0.0015004887453463848,0.0017584197425699931,0.002860968771003337,0.0026942424584031847,False,False,True
2022-11-28,2022-07-01,-0.0138224289397337,-0.0009736119199040636,0.0016532229817503164,0.0014240955687150145,0.012848817019829636,0.015475651921484016,0.015246524508448715,True,False,True
2022-11-29,2022-07-01,0.0140380854817543,0.005384231413491472,0.0017273505476737567,0.0013950932424174084,0.008653854068262828,0.012310734934080544,0.012642992239336891,True,True,False
2022-11-30,2022-07-01,0.0440002893169708,0.007331106548312544,0.0015652594758094804,0.0014331856527075144,0.03666918276865826,0.04243502984116132,0.042567103664263285,True,True,False
2022-12-01,2022-07-01,-0.0117326973600236,-0.0008103698741932482,0.0013823900634658077,0.0014396207377527438,0.01092232748583035,0.013115087423489408,0.013172318097776343,True,False,True
2022-12-02,2022-07-01,0.0071625150279055,0.005791766957113788,0.0017053282321000858,0.0014576435958721747,0.0013707480707917125,0.005457186795805415,0.005704871432033326,True,True,False
2022-12-03,2022-07-01,-0.0105581026525951,0.000153646546364696,0.0016052396537168455,0.0014856494921702199,0.010711749198959796,0.012163342306311945,0.012043752144765319,False,False,True
2022-12-04,2022-07-01,0.013144481522908,0.0039834323830725115,0.0017067028546237234,0.0015203233267501578,0.009161049139835488,0.011437778668284276,0.011624158196157842,True,True,False
2022-12-05,2022-07-01,-0.0090867330482284,-0.0004055356614785675,0.0015697594908634712,0.0015509697433851986,0.008681197386749832,0.010656492539091872,0.010637702791613598,True,False,True
2022-12-06,2022-07-01,0.0067557530907154,0.00439635526949248,0.0016964836739483344,0.0015743622067198484,0.0023593978212229205,0.005059269416767066,0.005181390883995551,True,True,False
2022-12-07,2022-07-01,-0.0141242808714139,0.0030980763471964235,0.0016071647475181929,0.0016077967508556323,0.017222357218610325,0.015731445618932093,0.01573207762226953,False,False,True
2022-12-08,2022-07-01,0.022871839541696,0.0033187484585115814,0.0017276366497759282,0.0016350495115346965,0.019553091083184416,0.02114420289192007,0.021236790030161302,True,True,False
2022-12-09,2022-07-01,-0.0058213603407883,-0.0020107727171854778,0.001513004668756355,0.0016665569708327363,0.003810587623602822,0.007334365009544655,0.0074879173116210365,True,False,True
2022-12-10,2022-07-01,-0.00025843080632,0.005666325839917033,0.0016751652660787655,0.0016954214216126115,0.005924756646237033,0.0019335960723987655,0.0019538522279326114,False,False,True
2022-12-11,2022-07-01,-0.0014321702613265,0.00332342947327966,0.0016478556038304736,0.0017362091543937281,0.00475559973460616,0.0030800258651569735,0.003168379415720228,False,False,True
2022-12-12,2022-07-01,0.0059777236188083,0.005667569006435688,0.001654103760128186,0.0017900748675364186,0.0003101546123726118,0.004323619858680114,0.004187648751271881,True,True,False
